"329","棋","","木","12","S","","","キ"
"330","貴","","貝","12","6","","","キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ"
"331","棄","","木","13","S","","","キ"
"332","毀","","殳","13","S","2010","","キ"
"333","旗","","方","14","4","","","キ、はた"
"334","器","器 [9]","口","15","4","","","キ、うつわ"
"335","畿","","田","15","S","2010","","キ"
"336","輝","","車","15","S","","","キ、かがや-く"
"337","機","","木","16","4","","","キ、はた"
"338","騎","","馬","18","S","","","キ"
"339","技","","手","7","5","","","ギ、わざ"
"340","宜","","宀","8","S","","","ギ"
"341","偽","僞","人","11","S","","","ギ、いつわ-る、にせ"
"342","欺","","欠","12","S","","","ギ、あざむ-く"
"343","義","","羊","13","5","","","ギ"
"344","疑","","疋","14","6","","","ギ、うたが-う"
"345","儀","","人","15","S","","","ギ"
"346","戯","戲","戈","15","S","","","ギ、たわむ-れる"
"347","擬","","手","17","S","","","ギ"
"348","犠","犧","牛","17","S","","","ギ"
"349","議","","言","20","4","","","ギ"
"350","菊","","艸","11","S","","","キク"
"351","吉","","口","6","S","","","キチ、キツ"
"352","喫","","口","12","S","","","キツ"
"353","詰","","言","13","S","","","キツ、つ-める、つ-まる、つ-む"
"354","却","","卩","7","S","","","キャク"
"355","客","","宀","9","3","","","キャク、カク"
"356","脚","","肉","11","S","","","キャク、（キャ）、あし"
"357","逆","","辵","9","5","","","ギャク、さか、さか-らう"
"358","虐","","虍","9","S","","","ギャク、しいた-げる"
"359","九","","乙","2","1","","","キュウ、ク、ここの、ここの-つ"
"360","久","","丿","3","5","","","キュウ、（ク）、ひさ-しい"
"361","及","","又","3","S","","","キュウ、およ-ぶ、およ-び、およ-ぼす"
"362","弓","","弓","3","2","","","キュウ、ゆみ"
"363","丘","","一","5","S","","","キュウ、おか"
"364","旧","舊","臼","5","5","","","キュウ"
"365","休","","人","6","1","","","キュウ、やす-む、やす-まる、やす-める"
"366","吸","","口","6","6","","","キュウ、す-う"
"367","朽","","木","6","S","","","キュウ、く-ちる"
"368","臼","","臼","6","S","2010","","キュウ、うす"
"369","求","","水","7","4","","","キュウ、もと-める"
"370","究","","穴","7","3","","","キュウ、きわ-める"
"371","泣","","水","8","4","","","キュウ、な-く"
"372","急","","心","9","3","","","キュウ、いそ-ぐ"
"373","級","","糸","9","3","","","キュウ"
"374","糾","","糸","9","S","","","キュウ"
"375","宮","","宀","10","3","","","キュウ、グウ、（ク）、みや"
"376","救","","攴","11","5","","","キュウ、すく-う"
"377","球","","玉","11","3","","","キュウ、たま"
"378","給","","糸","12","4","","","キュウ"
"379","嗅 [6]","","口","13","S","2010","","キュウ、か-ぐ"
"380","窮","","穴","15","S","","","キュウ、きわ-める、きわ-まる"
"381","牛","","牛","4","2","","","ギュウ、うし"
"382","去","","厶","5","3","","","キョ、コ、さ-る"
"383","巨","","工","5","S","","","キョ"
"384","居","","尸","8","5","","","キョ、い-る"
"385","拒","","手","8","S","","","キョ、こば-む"
"386","拠","據","手","8","S","","","キョ、コ"
"387","挙","擧","手","10","4","","","キョ、あ-げる、あ-がる"
"388","虚","虛","虍","11","S","","","キョ、（コ）"
"389","許","","言","11","5","","","キョ、ゆる-す"
"390","距","","足","12","S","","","キョ"
"391","魚","","魚","11","2","","","ギョ、うお、さかな"
"392","御","","彳","12","S","","","ギョ、ゴ、おん"
"393","漁","","水","14","4","","","ギョ、リョウ"
"394","凶","","凵","4","S","","","キョウ"
"395","共","","八","6","4","","","キョウ、とも"
"396","叫","","口","6","S","","","キョウ、さけ-ぶ"
"397","狂","","犬","7","S","","","キョウ、くる-う、くる-おしい"
"398","京","","亠","8","2","","","キョウ、ケイ"
"399","享","","亠","8","S","","","キョウ"
"400","供","","人","8","6","","","キョウ、（ク）、そな-える、とも"
"401","協","","十","8","4","","","キョウ"
"402","況","","水","8","S","","","キョウ"
"403","峡","峽","山","9","S","","","キョウ"
"404","挟","挾","手","9","S","1981","","キョウ、はさ-む、はさ-まる"
"405","狭","狹","犬","9","S","","","キョウ、せま-い、せば-める、せば-まる"
"406","恐","","心","10","S","","","キョウ、おそ-れる、おそ-ろしい"
"407","恭","","心","10","S","","","キョウ、うやうや-しい"
"408","胸","","肉","10","6","","","キョウ、むね、（むな）"
"409","脅","","肉","10","S","","","キョウ、おびや-かす、おど-す、おど-かす"
"410","強","","弓","11","2","","","キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる"
"411","教","敎 [4]","攴","11","2","","","キョウ、おし-える、おそ-わる"
"412","郷","鄕","邑","11","6","","","キョウ、ゴウ"
"413","境","","土","14","5","","","キョウ、（ケイ）、さかい"
"414","橋","","木","16","3","","","キョウ、はし"
"415","矯","","矢","17","S","1981","","キョウ、た-める"
"416","鏡","","金","19","4","","","キョウ、かがみ"
"417","競","","立","20","4","","","キョウ、ケイ、きそ-う、せ-る"
"418","響","響 [9]","音","20","S","","","キョウ、ひび-く"
"419","驚","","馬","22","S","","","キョウ、おどろ-く、おどろ-かす"
"420","仰","","人","6","S","","","ギョウ、（コウ）、あお-ぐ、おお-せ"
"421","暁","曉","日","12","S","","","ギョウ、あかつき"
"422","業","","木","13","3","","","ギョウ、ゴウ、わざ"
"423","凝","","冫","16","S","","","ギョウ、こ-る、こ-らす"
"424","曲","","曰","6","3","","","キョク、ま-がる、ま-げる"
"425","局","","尸","7","3","","","キョク"
"426","極","","木","12","4","","","キョク、ゴク、きわ-める、きわ-まる、きわ-み"
"427","玉","","玉","5","1","","","ギョク、たま"
"428","巾","","巾","3","S","2010","","キン"
"429","斤","","斤","4","S","","","キン"
"430","均","","土","7","5","","","キン"
"431","近","","辵","7","2","","","キン、ちか-い"
"432","金","","金","8","1","","","キン、コン、かね、（かな）"
"433","菌","","艸","11","S","","","キン"
"434","勤","勤 [9]","力","12","6","","","キン、（ゴン）、つと-める、つと-まる"
"435","琴","","玉","12","S","","","キン、こと"
"436","筋","","竹","12","6","","","キン、すじ"
"437","僅 [6][11]","","人","13","S","2010","","キン、わず-か"
"438","禁","","示","13","5","","","キン"
"439","緊","","糸","15","S","","","キン"
"440","錦","","金","16","S","2010","","キン、にしき"
"441","謹","謹 [9]","言","17","S","","","キン、つつし-む"
"442","襟","","衣","18","S","1981","","キン、えり"
"443","吟","","口","7","S","","","ギン"
"444","銀","","金","14","3","","","ギン"
"445","区","區","匸","4","3","","","ク"
"446","句","","口","5","5","","","ク"
"447","苦","","艸","8","3","","","ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る"
"448","駆","驅","馬","14","S","","","ク、か-ける、か-る"
"449","具","","八","8","3","","","グ"
"450","惧 [6][12]","","心","11","S","2010","","グ"
"451","愚","","心","13","S","","","グ、おろ-か"
"452","空","","穴","8","1","","","クウ、そら、あ-く、あ-ける、から"
"453","偶","","人","11","S","","","グウ"
"454","遇","","辵","12","S","","","グウ"
"455","隅","","阜","12","S","1981","","グウ、すみ"
"456","串","","丨","7","S","2010","","くし"
"457","屈","","尸","8","S","","","クツ"
"458","掘","","手","11","S","","","クツ、ほ-る"
"459","窟","","穴","13","S","2010","","クツ"
"460","熊","","火","14","4","2010","","くま"
"461","繰","","糸","19","S","","","く-る"
"462","君","","口","7","3","","","クン、きみ"
